year_start,year_end,flow_type,dest_statefips,origin_statefips,origin_state_abbr,origin_state_name,n_returns,n_exemptions,agi_thousands
2018,2019,inflow,01,96,AL,"AL Total Migration-US and Foreign",46548,94055,2851457
2018,2019,inflow,01,97,AL,"AL Total Migration-US",45926,92608,2811933
2018,2019,inflow,01,98,AL,"AL Total Migration-Foreign",622,1447,39524
2018,2019,inflow,01,97,AL,"AL Total Migration-Same State",57330,114686,2839499
2018,2019,inflow,01,01,AL,"AL Non-migrants",1591032,3464654,109282679
2018,2019,inflow,01,13,GA,"Georgia",7254,14693,412108
2018,2019,inflow,01,12,FL,"Florida",6975,13712,371894
2018,2019,inflow,01,47,TN,"Tennessee",3914,7616,226697
2018,2019,inflow,01,48,TX,"Texas",3089,6500,191238
2018,2019,inflow,01,28,MS,"Mississippi",2842,5715,142189
2018,2019,inflow,01,06,CA,"California",1926,3876,156039
2018,2019,inflow,01,37,NC,"North Carolina",1540,3171,90010
2018,2019,inflow,01,51,VA,"Virginia",1380,2924,111202
2018,2019,inflow,01,22,LA,"Louisiana",1198,2378,69285
2018,2019,inflow,01,17,IL,"Illinois",1116,2204,82864
2018,2019,inflow,01,45,SC,"South Carolina",1021,2031,60647
2018,2019,inflow,01,39,OH,"Ohio",998,2015,59508
2018,2019,inflow,01,36,NY,"New York",990,1822,58657
2018,2019,inflow,01,08,CO,"Colorado",899,1888,58511
2018,2019,inflow,01,21,KY,"Kentucky",850,1733,50085
2018,2019,inflow,01,26,MI,"Michigan",824,1640,43557
2018,2019,inflow,01,18,IN,"Indiana",753,1533,44530
2018,2019,inflow,01,42,PA,"Pennsylvania",633,1223,42613
2018,2019,inflow,01,57,FR,"Foreign",622,1447,39524
2018,2019,inflow,01,29,MO,"Missouri",621,1240,37402
2018,2019,inflow,01,53,WA,"Washington",605,1324,39558
2018,2019,inflow,01,24,MD,"Maryland",593,1158,71951
2018,2019,inflow,01,04,AZ,"Arizona",548,1162,35964
2018,2019,inflow,01,05,AR,"Arkansas",464,923,27471
2018,2019,inflow,01,20,KS,"Kansas",426,930,24294
2018,2019,inflow,01,40,OK,"Oklahoma",422,900,30179
2018,2019,inflow,01,55,WI,"Wisconsin",338,667,19621
2018,2019,inflow,01,34,NJ,"New Jersey",312,638,19498
2018,2019,inflow,01,32,NV,"Nevada",272,550,17169
2018,2019,inflow,01,25,MA,"Massachusetts",268,482,18773
2018,2019,inflow,01,27,MN,"Minnesota",252,512,18603
2018,2019,inflow,01,15,HI,"Hawaii",245,608,16351
2018,2019,inflow,01,41,OR,"Oregon",230,405,12344
2018,2019,inflow,01,19,IA,"Iowa",224,442,14379
2018,2019,inflow,01,02,AK,"Alaska",217,539,13715
2018,2019,inflow,01,49,UT,"Utah",216,583,13360
2018,2019,inflow,01,54,WV,"West Virginia",198,412,13973
2018,2019,inflow,01,09,CT,"Connecticut",189,326,12196
2018,2019,inflow,01,35,NM,"New Mexico",183,387,15331
2018,2019,inflow,01,31,NE,"Nebraska",139,289,7969
2018,2019,inflow,01,16,ID,"Idaho",96,172,4048
2018,2019,inflow,01,30,MT,"Montana",90,183,4666
2018,2019,inflow,01,33,NH,"New Hampshire",81,144,15265
2018,2019,inflow,01,11,DC,"District Of Columbia",77,120,9234
2018,2019,inflow,01,56,WY,"Wyoming",76,156,5846
2018,2019,inflow,01,10,DE,"Delaware",74,150,3992
2018,2019,inflow,01,38,ND,"North Dakota",67,152,3840
2018,2019,inflow,01,23,ME,"Maine",64,105,3212
2018,2019,inflow,01,46,SD,"South Dakota",61,117,5009
2018,2019,inflow,01,44,RI,"Rhode Island",51,104,3567
2018,2019,inflow,01,50,VT,"Vermont",25,54,1520
2018,2019,inflow,02,96,AK,"AK Total Migration-US and Foreign",13780,26353,786200
2018,2019,inflow,02,97,AK,"AK Total Migration-US",13352,25399,764220
2018,2019,inflow,02,98,AK,"AK Total Migration-Foreign",428,954,21980
2018,2019,inflow,02,97,AK,"AK Total Migration-Same State",6164,11411,366972
2018,2019,inflow,02,02,AK,"AK Non-migrants",259648,541084,21951886
2018,2019,inflow,02,06,CA,"California",1367,2462,75456
2018,2019,inflow,02,53,WA,"Washington",1281,2277,75056
2018,2019,inflow,02,48,TX,"Texas",1104,2405,79891
2018,2019,inflow,02,12,FL,"Florida",745,1364,39423
2018,2019,inflow,02,41,OR,"Oregon",640,1113,35949
2018,2019,inflow,02,08,CO,"Colorado",609,1139,36002
2018,2019,inflow,02,04,AZ,"Arizona",566,1048,33527
2018,2019,inflow,02,37,NC,"North Carolina",458,969,22598
2018,2019,inflow,02,57,FR,"Foreign",428,954,21980
2018,2019,inflow,02,13,GA,"Georgia",377,793,18169
