year_start,year_end,flow_type,dest_statefips,origin_statefips,origin_state_abbr,origin_state_name,n_returns,n_exemptions,agi_thousands
2017,2018,inflow,01,96,AL,"AL Total Migration-US and Foreign",47578,97703,2754842
2017,2018,inflow,01,97,AL,"AL Total Migration-US",46908,96089,2714756
2017,2018,inflow,01,98,AL,"AL Total Migration-Foreign",670,1614,40086
2017,2018,inflow,01,97,AL,"AL Total Migration-Same State",59337,119622,2833824
2017,2018,inflow,01,01,AL,"AL Non-migrants",1582765,3468405,104423723
2017,2018,inflow,01,13,GA,"Georgia",7914,16158,404454
2017,2018,inflow,01,12,FL,"Florida",7004,13862,372582
2017,2018,inflow,01,47,TN,"Tennessee",3989,7903,230827
2017,2018,inflow,01,48,TX,"Texas",3360,7303,222862
2017,2018,inflow,01,28,MS,"Mississippi",2845,5731,145996
2017,2018,inflow,01,06,CA,"California",1949,3936,124596
2017,2018,inflow,01,37,NC,"North Carolina",1559,3184,91731
2017,2018,inflow,01,51,VA,"Virginia",1363,3025,108722
2017,2018,inflow,01,22,LA,"Louisiana",1278,2695,82177
2017,2018,inflow,01,17,IL,"Illinois",1108,2225,69410
2017,2018,inflow,01,36,NY,"New York",1019,1987,56942
2017,2018,inflow,01,39,OH,"Ohio",1018,2017,52789
2017,2018,inflow,01,45,SC,"South Carolina",901,1863,55025
2017,2018,inflow,01,26,MI,"Michigan",887,1759,42385
2017,2018,inflow,01,08,CO,"Colorado",850,1890,53432
2017,2018,inflow,01,21,KY,"Kentucky",822,1751,47397
2017,2018,inflow,01,18,IN,"Indiana",731,1523,40023
2017,2018,inflow,01,29,MO,"Missouri",697,1434,43559
2017,2018,inflow,01,57,FR,"Foreign",670,1614,40086
2017,2018,inflow,01,53,WA,"Washington",648,1457,39678
2017,2018,inflow,01,42,PA,"Pennsylvania",631,1243,43281
2017,2018,inflow,01,24,MD,"Maryland",525,1058,40320
2017,2018,inflow,01,04,AZ,"Arizona",511,1021,31217
2017,2018,inflow,01,05,AR,"Arkansas",472,984,27940
2017,2018,inflow,01,40,OK,"Oklahoma",430,973,23681
2017,2018,inflow,01,20,KS,"Kansas",378,889,20502
2017,2018,inflow,01,34,NJ,"New Jersey",330,673,19151
2017,2018,inflow,01,55,WI,"Wisconsin",319,603,21835
2017,2018,inflow,01,25,MA,"Massachusetts",290,517,15732
2017,2018,inflow,01,15,HI,"Hawaii",279,678,17070
2017,2018,inflow,01,32,NV,"Nevada",268,554,14176
2017,2018,inflow,01,19,IA,"Iowa",246,469,13858
2017,2018,inflow,01,27,MN,"Minnesota",221,409,13650
2017,2018,inflow,01,02,AK,"Alaska",212,491,13957
2017,2018,inflow,01,35,NM,"New Mexico",208,449,11306
2017,2018,inflow,01,09,CT,"Connecticut",199,365,12525
2017,2018,inflow,01,41,OR,"Oregon",193,360,10182
2017,2018,inflow,01,49,UT,"Utah",180,407,11208
2017,2018,inflow,01,54,WV,"West Virginia",162,357,11747
2017,2018,inflow,01,31,NE,"Nebraska",143,320,10172
2017,2018,inflow,01,16,ID,"Idaho",97,217,4933
2017,2018,inflow,01,30,MT,"Montana",91,191,4608
2017,2018,inflow,01,38,ND,"North Dakota",86,187,5304
2017,2018,inflow,01,11,DC,"District Of Columbia",76,120,5754
2017,2018,inflow,01,46,SD,"South Dakota",75,146,4304
2017,2018,inflow,01,23,ME,"Maine",72,166,4073
2017,2018,inflow,01,56,WY,"Wyoming",71,144,4444
2017,2018,inflow,01,33,NH,"New Hampshire",69,137,4523
2017,2018,inflow,01,10,DE,"Delaware",52,101,3332
2017,2018,inflow,01,44,RI,"Rhode Island",50,101,3076
2017,2018,inflow,01,50,VT,"Vermont",30,56,2305
2017,2018,inflow,02,96,AK,"AK Total Migration-US and Foreign",13916,26983,742553
2017,2018,inflow,02,97,AK,"AK Total Migration-US",13489,26024,722943
2017,2018,inflow,02,98,AK,"AK Total Migration-Foreign",427,959,19610
2017,2018,inflow,02,97,AK,"AK Total Migration-Same State",6313,11863,357507
2017,2018,inflow,02,02,AK,"AK Non-migrants",258617,541059,20796383
2017,2018,inflow,02,06,CA,"California",1413,2477,75175
2017,2018,inflow,02,53,WA,"Washington",1310,2349,72866
2017,2018,inflow,02,48,TX,"Texas",1048,2222,69652
2017,2018,inflow,02,12,FL,"Florida",758,1453,34881
2017,2018,inflow,02,08,CO,"Colorado",630,1121,33837
2017,2018,inflow,02,41,OR,"Oregon",600,1024,31548
2017,2018,inflow,02,04,AZ,"Arizona",506,936,29085
2017,2018,inflow,02,37,NC,"North Carolina",454,1007,20677
2017,2018,inflow,02,57,FR,"Foreign",427,959,19610
2017,2018,inflow,02,13,GA,"Georgia",392,883,17689
2017,2018,inflow,02,51,VA,"Virginia",383,809,25179
2017,2018,inflow,02,36,NY,"New York",328,553,15794
2017,2018,inflow,02,15,HI,"Hawaii",292,641,13570
2017,2018,inflow,02,26,MI,"Michigan",275,484,12771
2017,2018,inflow,02,16,ID,"Idaho",273,562,14654
2017,2018,inflow,02,32,NV,"Nevada",273,521,14684
2017,2018,inflow,02,40,OK,"Oklahoma",253,603,14893
2017,2018,inflow,02,47,TN,"Tennessee",249,489,12336
2017,2018,inflow,02,42,PA,"Pennsylvania",247,457,12720
2017,2018,inflow,02,49,UT,"Utah",240,530,13755
2017,2018,inflow,02,17,IL,"Illinois",229,388,11203
2017,2018,inflow,02,30,MT,"Montana",222,416,11377
2017,2018,inflow,02,27,MN,"Minnesota",217,387,11621
2017,2018,inflow,02,29,MO,"Missouri",195,395,8797
2017,2018,inflow,02,55,WI,"Wisconsin",193,320,11088
2017,2018,inflow,02,20,KS,"Kansas",192,440,10068
2017,2018,inflow,02,39,OH,"Ohio",191,338,8565
2017,2018,inflow,02,01,AL,"Alabama",186,468,10405
2017,2018,inflow,02,45,SC,"South Carolina",169,380,8340
2017,2018,inflow,02,35,NM,"New Mexico",156,277,9320
2017,2018,inflow,02,22,LA,"Louisiana",151,367,9828
2017,2018,inflow,02,24,MD,"Maryland",139,273,7886
2017,2018,inflow,02,25,MA,"Massachusetts",123,198,7000
2017,2018,inflow,02,18,IN,"Indiana",116,205,5475
2017,2018,inflow,02,21,KY,"Kentucky",107,209,4254
2017,2018,inflow,02,34,NJ,"New Jersey",103,172,4683
2017,2018,inflow,02,28,MS,"Mississippi",99,194,4883
2017,2018,inflow,02,56,WY,"Wyoming",92,202,5538
2017,2018,inflow,02,38,ND,"North Dakota",83,177,4149
2017,2018,inflow,02,05,AR,"Arkansas",81,188,4136
2017,2018,inflow,02,31,NE,"Nebraska",76,156,4353
2017,2018,inflow,02,19,IA,"Iowa",71,115,2934
2017,2018,inflow,02,46,SD,"South Dakota",63,131,2879
2017,2018,inflow,02,23,ME,"Maine",61,93,3101
2017,2018,inflow,02,33,NH,"New Hampshire",57,88,4025
2017,2018,inflow,02,09,CT,"Connecticut",49,77,2125
2017,2018,inflow,02,54,WV,"West Virginia",43,81,2307
2017,2018,inflow,02,10,DE,"Delaware",29,52,1071
2017,2018,inflow,02,50,VT,"Vermont",27,36,1078
2017,2018,inflow,02,11,DC,"District Of Columbia",27,38,3787
2017,2018,inflow,02,44,RI,"Rhode Island",18,42,901
2017,2018,inflow,04,96,AZ,"AZ Total Migration-US and Foreign",120488,225293,8857079
2017,2018,inflow,04,97,AZ,"AZ Total Migration-US",119298,222674,8794949
2017,2018,inflow,04,98,AZ,"AZ Total Migration-Foreign",1190,2619,62130
2017,2018,inflow,04,97,AZ,"AZ Total Migration-Same State",43338,85869,2145644
2017,2018,inflow,04,04,AZ,"AZ Non-migrants",2338957,5039710,168227838
2017,2018,inflow,04,06,CA,"California",27982,53096,2078363
2017,2018,inflow,04,48,TX,"Texas",7791,15331,552547
2017,2018,inflow,04,53,WA,"Washington",6983,12914,571238
2017,2018,inflow,04,17,IL,"Illinois",6123,11114,549736
2017,2018,inflow,04,08,CO,"Colorado",6044,11003,435480
2017,2018,inflow,04,12,FL,"Florida",4150,7404,276782
2017,2018,inflow,04,32,NV,"Nevada",3709,6998,221496
2017,2018,inflow,04,35,NM,"New Mexico",3669,7458,183931
2017,2018,inflow,04,41,OR,"Oregon",3479,6266,279548
2017,2018,inflow,04,36,NY,"New York",2990,4985,287669
2017,2018,inflow,04,26,MI,"Michigan",2967,5332,191887
2017,2018,inflow,04,49,UT,"Utah",2883,6325,161415
2017,2018,inflow,04,27,MN,"Minnesota",2848,4914,306743
2017,2018,inflow,04,39,OH,"Ohio",2536,4512,254590
2017,2018,inflow,04,55,WI,"Wisconsin",2452,4459,166639
2017,2018,inflow,04,42,PA,"Pennsylvania",1987,3411,150126
2017,2018,inflow,04,51,VA,"Virginia",1867,3520,152620
2017,2018,inflow,04,37,NC,"North Carolina",1840,3650,114123
2017,2018,inflow,04,29,MO,"Missouri",1831,3434,115005
2017,2018,inflow,04,18,IN,"Indiana",1790,3295,126816
2017,2018,inflow,04,13,GA,"Georgia",1719,3340,107821
2017,2018,inflow,04,16,ID,"Idaho",1482,2896,80119
2017,2018,inflow,04,19,IA,"Iowa",1358,2405,101888
2017,2018,inflow,04,34,NJ,"New Jersey",1320,2313,142862
2017,2018,inflow,04,25,MA,"Massachusetts",1210,1932,109946
2017,2018,inflow,04,57,FR,"Foreign",1190,2619,62130
2017,2018,inflow,04,20,KS,"Kansas",1177,2262,74881
2017,2018,inflow,04,47,TN,"Tennessee",1137,2152,65526
2017,2018,inflow,04,24,MD,"Maryland",1049,1941,92983
2017,2018,inflow,04,30,MT,"Montana",1041,1878,62386
2017,2018,inflow,04,31,NE,"Nebraska",1036,1894,74293
2017,2018,inflow,04,40,OK,"Oklahoma",1027,2042,57053
2017,2018,inflow,04,02,AK,"Alaska",992,1888,66794
2017,2018,inflow,04,15,HI,"Hawaii",912,1804,66545
2017,2018,inflow,04,45,SC,"South Carolina",778,1518,54361
2017,2018,inflow,04,46,SD,"South Dakota",737,1311,42920
2017,2018,inflow,04,38,ND,"North Dakota",726,1250,50084
2017,2018,inflow,04,09,CT,"Connecticut",709,1231,70159
2017,2018,inflow,04,21,KY,"Kentucky",642,1243,36684
2017,2018,inflow,04,56,WY,"Wyoming",635,1235,40773
2017,2018,inflow,04,22,LA,"Louisiana",612,1177,34660
2017,2018,inflow,04,01,AL,"Alabama",581,1169,35359
2017,2018,inflow,04,05,AR,"Arkansas",555,1042,26994
2017,2018,inflow,04,33,NH,"New Hampshire",375,615,22751
2017,2018,inflow,04,28,MS,"Mississippi",374,691,16459
2017,2018,inflow,04,23,ME,"Maine",300,524,16245
2017,2018,inflow,04,44,RI,"Rhode Island",193,359,14861
2017,2018,inflow,04,11,DC,"District Of Columbia",190,262,17894
2017,2018,inflow,04,54,WV,"West Virginia",190,331,11853
2017,2018,inflow,04,10,DE,"Delaware",163,287,10701
2017,2018,inflow,04,50,VT,"Vermont",157,261,12342
2017,2018,inflow,05,96,AR,"AR Total Migration-US and Foreign",30908,62258,1613152
2017,2018,inflow,05,97,AR,"AR Total Migration-US",30637,61662,1601322
2017,2018,inflow,05,98,AR,"AR Total Migration-Foreign",271,596,11830
2017,2018,inflow,05,97,AR,"AR Total Migration-Same State",41262,84185,1721984
2017,2018,inflow,05,05,AR,"AR Non-migrants",943044,2097158,65327022
2017,2018,inflow,05,48,TX,"Texas",5926,12083,326496
2017,2018,inflow,05,29,MO,"Missouri",2810,5671,127285
2017,2018,inflow,05,40,OK,"Oklahoma",2734,5581,111257
2017,2018,inflow,05,06,CA,"California",2006,4003,107644
2017,2018,inflow,05,47,TN,"Tennessee",1715,3444,101971
2017,2018,inflow,05,12,FL,"Florida",1390,2592,69408
2017,2018,inflow,05,22,LA,"Louisiana",1352,2789,64860
2017,2018,inflow,05,17,IL,"Illinois",1062,2099,61437
2017,2018,inflow,05,28,MS,"Mississippi",938,1973,45709
2017,2018,inflow,05,08,CO,"Colorado",835,1632,46321
2017,2018,inflow,05,20,KS,"Kansas",721,1449,38814
2017,2018,inflow,05,13,GA,"Georgia",649,1367,36881
2017,2018,inflow,05,04,AZ,"Arizona",564,1091,26031
2017,2018,inflow,05,37,NC,"North Carolina",541,1127,29417
2017,2018,inflow,05,53,WA,"Washington",474,951,29736
2017,2018,inflow,05,39,OH,"Ohio",443,886,35125
2017,2018,inflow,05,51,VA,"Virginia",441,900,30551
2017,2018,inflow,05,01,AL,"Alabama",439,866,18777
2017,2018,inflow,05,26,MI,"Michigan",437,848,18185
2017,2018,inflow,05,36,NY,"New York",430,772,23996
2017,2018,inflow,05,18,IN,"Indiana",417,894,19734
2017,2018,inflow,05,19,IA,"Iowa",332,626,15906
2017,2018,inflow,05,55,WI,"Wisconsin",329,661,15877
2017,2018,inflow,05,21,KY,"Kentucky",293,598,17691
2017,2018,inflow,05,42,PA,"Pennsylvania",290,550,18045
2017,2018,inflow,05,57,FR,"Foreign",271,596,11830
2017,2018,inflow,05,27,MN,"Minnesota",269,524,16106
2017,2018,inflow,05,45,SC,"South Carolina",257,556,14517
2017,2018,inflow,05,32,NV,"Nevada",238,491,10565
2017,2018,inflow,05,31,NE,"Nebraska",223,435,11439
2017,2018,inflow,05,35,NM,"New Mexico",202,393,9002
2017,2018,inflow,05,41,OR,"Oregon",202,411,9096
2017,2018,inflow,05,24,MD,"Maryland",185,362,11323
2017,2018,inflow,05,49,UT,"Utah",166,411,10139
2017,2018,inflow,05,34,NJ,"New Jersey",166,326,11883
2017,2018,inflow,05,15,HI,"Hawaii",135,278,4995
2017,2018,inflow,05,25,MA,"Massachusetts",133,243,7959
2017,2018,inflow,05,02,AK,"Alaska",119,246,6056
2017,2018,inflow,05,46,SD,"South Dakota",100,216,5595
2017,2018,inflow,05,38,ND,"North Dakota",95,191,5308
2017,2018,inflow,05,16,ID,"Idaho",87,196,5199
2017,2018,inflow,05,54,WV,"West Virginia",78,160,4612
2017,2018,inflow,05,56,WY,"Wyoming",76,166,3235
2017,2018,inflow,05,09,CT,"Connecticut",73,123,3085
2017,2018,inflow,05,30,MT,"Montana",72,158,3415
2017,2018,inflow,05,11,DC,"District Of Columbia",47,63,5222
2017,2018,inflow,05,33,NH,"New Hampshire",46,69,558
2017,2018,inflow,05,23,ME,"Maine",32,61,1712
2017,2018,inflow,05,10,DE,"Delaware",30,54,1659
2017,2018,inflow,05,44,RI,"Rhode Island",24,50,1046
2017,2018,inflow,05,50,VT,"Vermont",14,26,442
2017,2018,inflow,06,96,CA,"CA Total Migration-US and Foreign",261617,441167,19745147
2017,2018,inflow,06,97,CA,"CA Total Migration-US",256021,429856,19476281
2017,2018,inflow,06,98,CA,"CA Total Migration-Foreign",5596,11311,268866
2017,2018,inflow,06,97,CA,"CA Total Migration-Same State",501775,911915,39631874
2017,2018,inflow,06,06,CA,"CA Non-migrants",14159070,30682756,1360000753
2017,2018,inflow,06,48,TX,"Texas",23416,42879,1613625
2017,2018,inflow,06,36,NY,"New York",21467,30322,2560286
2017,2018,inflow,06,53,WA,"Washington",16163,28075,1347022
2017,2018,inflow,06,04,AZ,"Arizona",14685,26048,872129
2017,2018,inflow,06,12,FL,"Florida",14283,23692,1227402
2017,2018,inflow,06,32,NV,"Nevada",13290,24105,730911
